鸦 鴉 [āa] "a crow"    
宾佬 賓佬 "[bān lóu]" "a Filipino man, a ""Filipino guy""."    
宾妹 賓妹 "[bān mūi]" "1. a Filipino girl or young woman2. a Filipino domestic helper in Hong Kong."    
宾婆 賓婆 "[bān pó]" "a Filipino woman."    
禀 稟 [bān] "to report someone (to a teacher, the police)."    
禀神 稟神 "[bān sàhn (gám sēng)]" "to murmur, to mutter indistinctly."    
禀神咁声 稟神咁聲 "[bān sàhn]" "to murmur, to mutter indistinctly"    
禀神都冇句真 稟神都冇句真 "[bān sàhn dōu móuh geui jān]" "(lies even when praying)always dishonest" " extremely mendaciouis"   
崩 崩 [bāng] "1. broken2. a cent"    
一个崩都冇少到 一個崩都冇少到 "[yāt go bāng dōu móuh síu dou]" "There's not a cent missing."    
崩口人忌崩口碗 崩口人忌崩口碗 "[bāng háu yàhn geih bang háu wún]" "(a hare-lipped person shuns a chipped bowl)someone with a particular sensitivity, problem, or flaw resents anything that draws attention to it."    
崩牙 崩牙 "[bāng ngàah]" "(broken teeth)uneven or protruding teeth (""goofy teeth"", a common nickname)."    
崩耳 崩耳 "[bāng yíh]" "(ear protruding)to have protruding ears."    
不 不 [bāt] not    
不得了 不得了 "[bāt dāk líuh]" "1. wonderful, great, terrific2. too bad."    
不举 不舉 "[bāt géui]" "(can't raise)sexually impotent"    
不醉无归 不醉無歸 "[bāt jeui mòuh gwāi]" "an exclamation, urging someone to keep drinking until they are drunk."    
不知所谓 不知所謂 "[bāt jī só waih]" "abnormal, incomprehensible, unaccountable, ""out of line""."    
啤 啤 "[multiple readings]" "[bē]1. beer2. to stare aggressively [pē] (<pair) pair"    
啤啤佢 啤啤佢 "[bē bē kéuih]" "to have a beer"    
啤灰 啤灰 "[bē fūi]" "to take heroin."    
啤酒妹 啤酒妹 "[bē jáu mūi]" "(beer girl)a young woman paid to promote a particular brand of beer in bars and pubs, generally dressed in an outfit based on the brand."    
啤住 啤住 "[bē jyuh]" "to stare, staring"    
啤咩呀 啤咩呀 "[bē mē aa]" "used to challenge someone who is or is accused of staring, ""who are you staring at?"""    
啤一啤 啤一啤 "[bē yāt bē]" "to have a beer."    
病 病 [behng] ill    
病到懵咗 病到懵咗 "[behng dou múng jó]" "so ill as to be muddle-headed or confused."    
病鬼 病鬼 "[behng gwái]" "(sick ghost)1. a sickly person2. a weak person."    
病猫 病貓 "[behng māau]" "(sick cat)1. a sickly person2. a weak person."    
Bell开 Bell開 "[behw hōi]" "to nudge, to shove."    
卑 卑 [bēi] inferior    
卑鄙 卑鄙 "[bēi péi]" "despicable, immoral, of bad character."    
俾 俾 "[a variant of 畀béi]" "to give"    
畀 畀 [béi] "to give"    
俾龟逗 俾龜逗 "[a variant of 畀龜逗béi gwāi dauh]" "(to be teased by a tortoise) to be stopped by a policeman, to have one's identity checked by a policeman, to be stopped and searched."    
畀龟逗 畀龜逗 "[béi gwāi dauh]" "(to be teased by a tortoise) to be stopped by a policeman, to have one's identity checked by a policeman, to be stopped and searched."    
俾鬼迷 俾鬼迷 "[a variant of 畀鬼迷béi gwái màih]" "(to be bewitched by a ghost)to be put under a spell. "    
畀鬼迷 畀鬼迷 "[béi gwái màih]" "(to be bewitched by a ghost)to be put under a spell."    
俾Card 俾Card "[a variant of 畀Cardbéi kāat]" "(to give one's card)to pay with a credit card."    
畀Card 畀Card "[béi kāat]" "(to give one's card)to pay with a credit card."    
俾面 俾面 "[a variant of 畀面béi mín]" "to give face to, to be respectful towards, to pay respect to."    
畀面 畀面 "[béi mín]" "to give face to, to be respectful towards, to pay respect to."    
俾心机 俾心機 "[a variant of 畀心機béi sām gēi]" "(to give heart and thought)1. to pay great attention to a task2. an expression of encouragement (to somebody who is doing something)."    
畀心机 畀心機 "[béi sām gēi]" "(to give heart and thought)1. to pay great attention to a task2. an expression of encouragement (to somebody who is doing something)."    
俾人炖 俾人燉 "[a variant of 畀人燉béi yàhn dahn]" "(to be stewed)to be demoted. "    
畀人炖 畀人燉 "[béi yàhn dahn]" "(to be stewed)to be demoted. "    
俾人飞 俾人飛 "[a variant of 畀人飛béi yàhn fēi]" " to be dumped by one's lover"    
畀人飞 畀人飛 "[béi yàhn fēi]" " to be dumped by one's lover"    
俾人卖猪仔 俾人賣豬仔 "[a variant of 畀人賣豬仔béi yàhn maaih jyū jái]" "(to have one's piglet sold)to be betrayed, to be sold out by someone "    
畀人卖猪仔 畀人賣豬仔 "[béi yàhn maaih jyū jái]" "(to have one's piglet sold)to be betrayed, to be sold out by someone "    
俾人食咗只猪 俾人食咗隻豬 "[a variant of 畀人食咗隻豬béi yàhn sihk jó jek jyū]" "(to have one's roast pig eaten)used to refer to the fact that one's girlfriend or future wife is not a virgin, that she had a previous lover."    
畀人食咗双猪 畀人食咗雙豬 "[béi yàhn sihk jó jek jyū]" "(to have one's roast pig eaten)used to refer to the fact that one's girlfriend or future wife is not a virgin, that she had a previous lover."    
俾人睇死 俾人睇死 "[a variant of 畀人睇死béi yàhn tái séi]" "(to be seen as dead)to be seen as a loser"    
畀人睇死 畀人睇死 "[béi yàhn tái séi]" "(to be seen as dead)to be seen as a loser"    
秘 秘 [bei] "secret, private"    
秘捞 秘撈 "[bei lōu]" "(secret earnings)to work part-time without letting the boss know, ""to moonlight"" (puns with Peru)."    
鼻 鼻 [beih] "the nose"    
鼻屎 鼻屎 "[beih sí]" "(nose debris)mucus in the nose."    
鼻涕虫 鼻涕蟲 "[beih tai chùhng]" "(nose mucus insect)a young child, a ""snot-nosed kid""."    
避 避 [beih] "to avoid"    
避风头 避風頭 "[beih fūng tàuh]" "to avoid trouble, to stay out of trouble."    
避忌 避忌 "[beih geih]" "1. to be discreet, to show the proper discretion, to protect one's reputation2. to have scruples or inhibitions."    
避年 避年 "[beih nìhn]" "(to avoid the new year)to leave Hong Kong to avoid the Lunar New Year so as to escapt from one's relatives and the associated social obligations."    
饼 餅 [béng] "1. a cake2. cookie3. ten thousand dollars"    
饼印 餅印 "[béng yan]" "(cake mould)to look alike"    
柄 柄 [beng] "to hide"    
柄埋 柄埋 "[beng màaih]" "to hide from public view" " to stay away from any attention."   
BB BB "[bī bī]" "a whistle"    
BB机 BB機 "[bī bī gēi]" "a pager"    
B仔 B仔 "[bī jái]" "1. B boy2. a pet name for the penis"    
B哩吧啦 B哩吧啦 "[bī lī bāa lāa]" "to continue to talk, to talk nonsense, ""chatter on""."    
别 別 [biht] distinct    
别墅 別墅 "[biht seuih]" "1. a love-hotel2. a short-time hotel3. a ""villa"", i.e. hotel premises used by prostitutes as a place to take their clients"    
"Bing Ling Bang Lang" "Bing Ling Bang Lang" "[bìhng līng bàahng làahng]" "1. a loud noise2. a crashing sound3. a thumping sound4. very quickly"    
逼 逼 [bīk] "to force"    
逼虎跳墙 逼虎跳牆 "[bīk fú tiu chèuhng]" "(to force a tiger to jump a wall)1. to force somebody to do something that they do not normally do or lack the capacity to do2. to do unnecessarily provoke an aggressive response"    
逼挟 逼挾 "[bīk gihp]" cramped.    
边 邊 [bīn] side    
你边度 你邊度 "[néih bīn douh?]" "(where are you from?)used to question or challenge someone, by askig which traid group they belong to. "    
喺边度Wet 喺邊度Wet "[hái bīn douh wēt]" "1. where do you usually go for a good time?2. where are you going out to now?"    
边个阿妈生你㗎 邊個阿媽生你㗎 "[bīn go aa māa sāang néih gaa]" "(which mother gave birth to you?)a hostile question expressing moral outrage, ""what kind of person are you?""."    
边捻度 邊撚度 "[bīn lán douh]" "(where the fuck are you from)used to question or challenge someone aggressively, by asking which traid group they belong to, ""who the fuck are you?"", what fucking gang do you belong to?""."    
扁 扁 [bín] flat    
"扁pat pat" "扁pat pat" "[bín peht peht]" "very flat (surface)."    
变 變 [bin] "to transform"    
变态 變態 "[bin taai]" abnormal " perverted."   
变态佬 變態佬 "[bin taai lóu]" "an abnormal man, a sexual pervert"    
变态婆 變態婆 "[bin taai pòh]" "an abnormal woman, a sexual pervert"    
兵 兵 [bīng] "1. a soldier2. an official of the law, a police officer."    
冰 冰 [bīng] "1. ice2. ""ice"", i.e. a powerful amphetamine-like drug."    
冰火 冰火 "[bīng fó]" "(ice fire)a variety of oral sex (fallatio) that uses ice and a warm liquid alternatively in the mouth in order to increase sexual pleasure. "    
冰火五重天 冰火五重天 "[bīng fó ńgh chùhng tīn]" "a variety of oral sex (fallatio) that uses ice and a warm liquid alternatively in the mouth in order to increase sexual pleasure. "    
丙 丙 [bíng] "1. the third of the ten Celestial Stems2. to scold3. to hit"    
丙到飞起 丙到飛起 "[bíng dou fēi héi]" "(to beat someone into the air)1. to beat someone badly2. to challenge someone."    
丙到只狗咁 丙到隻狗咁 "[bíng dou jek gáu gám]" "to beat someone like a dog, to give someone a severe thrashing. "    
丙到只嘢咁 丙到隻嘢咁 "[bíng dou jek yéh gám]" "to give someone a severe beating, to beat someone to a pulp."    
丙到猪头咁 丙到豬頭咁 "[bíng dou jyū tàuh gám]" "(to beat someone into a pig's head)to beat severely, to beat to a pulp."    
丙镬 丙鑊 "[bíng wohk]" "to physically assault, to ""beat up""."    
丙镬甘 丙鑊甘 "[bíng wohk gām]" "to beat up."    
丙一身 丙一身 "[bíng yāt sān]" "to beat up thoroughly."    
丙一镬 丙一鑊 "[bing yāt wohk]" "to beat up thoroughly."    
錶 錶 [bīu] "a watch"    
錶你有无 錶你有無 "[bīu néih yáuh móuh]" "(do you have a watch)an insulting question, indirectly expressing hostility to the addressee(punning variant of 屌你老母 díu néih lóuh móu)."    
标 標 [bīu] "1. a symbol2. to snatch"    
标青 標青 "[bīu chēng]" great " terrific" " attractive" " outstanding." 
标尾会 標尾會 "[bīu méih wúi]" "(to win the last prize)1. to take the last chance to do something" " to grab the final opportunity."   
标参 標參 "[bīu sām]" "to kidnap"    
表 表 [bíu] "a prefix which mainly denotes cousins with a different surname"    
表错情 表錯情 "[bíu cho chìhng]" "to show the wrong emotion, to react inappropriately having misunderstood someone's meaning."    
表姐 表姐 "[bíu jé]" "1. maternal older female cousin2. a young woman from mainland China."    
表妹 表妹 "[bíu mūi]" "1. maternal younger female cousin2. a girl from mainland China"    
表嫂 表嫂 "[bíu sóu]" "1. maternal aunt2. a woman from mainland China."    
表叔 表叔 "[bíu sūk]" "1. maternal uncle, male younger than father2. a man from mainland China."    
波 波 [bō] "1. a ball2. breasts3. a typhoon"    
波霸 波霸 "[bō baa]" "(breast power)a busty girl, a woman with large breasts."    
波饼 波餅 "[bō béng]" "getting hit by the ball, to be struck by the ball."    
波大大閪细细 波大大閪細細 "[bō daaih daaih, hāi sai sai]" "big breasts and a small vagina, ""big tits and tight pussy""."    
波大冇脑 波大冇腦 "[bō daaih móuh nóuh]" "(big breasts no brain)an attractive but unintelligent woman, a ""bimbo""."    
波髧髧 波髧髧 "[bō dam dam]" "to have sagging breasts."    
波经 波經 "[bō gīng]" "(ball scripture)sports commentary, discussion of strategy in ball-games."    
波子 波子 "[bō jí]" "a Porsche"    
波罅 波罅 "[bō laa]" "a cleavage"    
波缆 波纜 "[bō láahm]" "illegal gambling on soccer."    
波楼 波樓 "[bō láu]" "a snooker, pool or billiard hall. "    
菠萝 菠蘿 "[bō lòh]" "1. pineapple2. a bomb"    
波罗钉 波羅釘 "[bō lòh dēng]" "someone who takes advantage of other people" " an exploiter "   
波罗鸡 波羅雞 "[bō lòh gāi]" "someone who takes advantage of other people" " an exploiter"   
菠萝盖 菠蘿蓋 "[bō lòh goi]" "(pineapple cover)the knee-cap"    
波牛 波牛 "[bō ngàuh]" "(ball ox)young kids who are soccer fanatics, obsessed with playing soccer rather than studying."    
波士 波士 "[bō sí]" "(<boss)a boss, supervisor"    
坡妹 坡妹 "[bō mūi]" "a girl or young woman from Singapore."    
薄切切 薄切切 "[bohk chīt chīt]" "very thin (objects)"    
薄落 薄落 "[bohk lōk]" "(<block)a road block, a police road block"    
薄皮 薄皮 "[bohk péi]" "(thin skin)1. thin-skinned, sensitive, easily irritated or provoked2. crying easily, to be a ""cry baby"". "    
磅 磅 [bohng] "1. a pound2. to weigh3. to give4. to accompany, to escort5. to protect"    
磅水 磅水 "[bohng séui]" "(to weigh water)to pay up, to give money one owes"    
磅友 磅友 "[a variant of 傍友bohng yáu]" "1. an obsequious person, always seen following their boss around2. someone who is obsequious to rich or powerful people."    
傍友 傍友 "[bohng yáu]" "1. an obsequious person, always seen following their boss around2. someone who is obsequious to rich or powerful people."    
扑 扑 [bōk] "1. to beat2. to have sex with, to ""screw""."    
扑瓜 扑瓜 "[bōk gwāa]" "to beat up badly, to beat to death."    
扑湿 扑濕 "[bōk sāp]" "(to beat wet)1. to assualt physically, to hit someone on the head2. to have sex with."    
扑镬劲 扑鑊勁 "[bōk wohk gihng]" "1. to assault physically, to beat up badly2. to have sex with3. to ""screw"" in a violent manner."    
扑嘢 扑嘢 "[bōk yéh]" "to have sex" " sex"   
卜 卜 [būk] "to divine"    
卜卜脆 卜卜脆 "[bōk bōk cheui]" "crispy in texture."    
搏 搏 [bok] "to risk"    
搏炒 搏炒 "[bok cháau]" "to perform badly at work, to rish getting the sack"    
搏出位 搏出位 "[bok chēut wái]" "to try and make a name for oneself"    
搏彩 搏彩 "[bok chói]" "to gamble" " gambling."   
搏大雾 搏大霧 "[bok daaih mouh]" "(to chance the big fog)to take advantage of a chaotic situation."    
搏红颜一笑 搏紅顏一笑 "[bok hùhng ngàahn yāt siu]" "to please a woman, to win favour with a woman."    
搏尽 搏盡 "[bok jeuhn]" "(to struggle to the utmost)to exert oneself to the maximun2. an expression of encouragement (to somebody who is doing something) (university student jargon)."    
搏拉 搏拉 "[bok lāai]" "to run the risk of arrest, to put oneself in danger of being arrested. "    
搏乱 搏亂 "[bok lyuhn]" "to take advantage of a chaotic situation."    
搏命 搏命 "[bok mehng]" "(to risk one's life)to give one's all to a task, to put everything one has into something."    
搏老命 搏老命 "[bok lóuh mehng]" "(to risk one's old life)to give one's all to a task, to put everything one has into something."    
搏懵 搏懵 "[bok múng]" "(to chance foolishness)1. to take advantage of a chaotic situation, to seize an opportunity, to take advantage of someone's inattention2. to take an opportunity to harass sexually or sexually assault."    
